request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Balance comfortably covers the full ZAR 17204 on 2025-02-04 while keeping at least ZAR 24700 after all projected essentials.
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,Balance comfortably covers the full INR 53500 on 2026-06-08 while keeping at least INR 73900 after all projected essentials.
request_106,544.8,affordable_later,wait,2025-01-15:2207.7,2025-01-15,none,"Paying in full today would drop the balance below the required EUR 1200. The first safe full-payment date is 2025-01-15, before the deadline of 2025-02-15."
request_107,0,not_affordable,not_recommended,none,,none,Requested EUR 2534.4 cannot be paid within the forecast window without breaking the minimum balance of EUR 1600; safe amount today is EUR 0.
request_108,6993.8,not_affordable,not_recommended,none,,none,Requested ZAR 55308 cannot be paid within the forecast window without breaking the minimum balance of ZAR 24100; safe amount today is ZAR 6993.8.
request_109,997.84,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,"Installment option payment_option_307 (3 payments of EUR 645.98 starting 2024-03-18) keeps the balance above EUR 1700 and completes by 2024-05-19, adding 149.08 in financing cost."
request_110,22352,affordable_now,full_payment,2025-08-06:22352,2025-08-06,none,Balance comfortably covers the full ZAR 22352 on 2025-08-06 while keeping at least ZAR 11200 after all projected essentials.
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Balance comfortably covers the full IDR 16625000 on 2026-04-03 while keeping at least IDR 23022800 after all projected essentials.
request_112,0,not_affordable,not_recommended,none,,none,Requested EUR 271.7 cannot be paid within the forecast window without breaking the minimum balance of EUR 500; safe amount today is EUR 0.
request_113,36500,affordable_now,full_payment,2026-09-04:36500,2026-09-04,none,Balance comfortably covers the full INR 36500 on 2026-09-04 while keeping at least INR 82300 after all projected essentials.
request_114,65300,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,Balance comfortably covers the full INR 65300 on 2026-01-04 while keeping at least INR 113400 after all projected essentials.
request_115,16687.93,affordable_later,wait,2024-10-15:80500,2024-10-15,none,"Paying in full today would drop the balance below the required INR 38800. The first safe full-payment date is 2024-10-15, before the deadline of 2024-11-15."
request_116,27240.4,not_affordable,not_recommended,none,,none,Requested INR 241200 cannot be paid within the forecast window without breaking the minimum balance of INR 80300; safe amount today is INR 27240.4.
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Balance comfortably covers the full EUR 880 on 2026-07-05 while keeping at least EUR 1000 after all projected essentials.
request_118,738.1,affordable_now,full_payment,2024-12-07:738.1,2024-12-07,none,Balance comfortably covers the full EUR 738.1 on 2024-12-07 while keeping at least EUR 600 after all projected essentials.
request_119,0,not_affordable,not_recommended,none,,none,Requested INR 203500 cannot be paid within the forecast window without breaking the minimum balance of INR 151200; safe amount today is INR 0.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Balance comfortably covers the full IDR 7714000 on 2026-04-06 while keeping at least IDR 20050300 after all projected essentials.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Balance comfortably covers the full USD 633.6 on 2024-03-03 while keeping at least USD 800 after all projected essentials.
request_122,20558000,affordable_now,full_payment,2025-08-05:20558000,2025-08-05,none,Balance comfortably covers the full IDR 20558000 on 2025-08-05 while keeping at least IDR 12588500 after all projected essentials.
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Balance comfortably covers the full IDR 4076000 on 2026-01-07 while keeping at least IDR 18091200 after all projected essentials.
request_124,1488.31,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-15,none,"Installment option payment_option_352 (3 payments of EUR 1076.12 starting 2024-06-11) keeps the balance above EUR 1600 and completes by 2024-08-12, adding 248.32 in financing cost."
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,Balance comfortably covers the full ZAR 6468 on 2025-11-06 while keeping at least ZAR 11300 after all projected essentials.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Balance comfortably covers the full INR 159600 on 2026-07-03 while keeping at least INR 129700 after all projected essentials.
request_127,0,not_affordable,not_recommended,none,,none,Requested ZAR 23980 cannot be paid within the forecast window without breaking the minimum balance of ZAR 41000; safe amount today is ZAR 0.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Balance comfortably covers the full ZAR 25168 on 2025-02-07 while keeping at least ZAR 42600 after all projected essentials.
request_129,203.61,not_affordable,not_recommended,none,,none,Requested USD 2668.8 cannot be paid within the forecast window without breaking the minimum balance of USD 800; safe amount today is USD 203.61.
request_130,664.17,affordable_later,wait,2024-12-15:1978.8,2024-12-15,none,"Paying in full today would drop the balance below the required USD 1400. The first safe full-payment date is 2024-12-15, before the deadline of 2025-02-15."
request_131,1598.54,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-15,none,"Installment option payment_option_372 (3 payments of USD 643.14 starting 2025-05-06) keeps the balance above USD 1100 and completes by 2025-07-01, adding 148.44 in financing cost."
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,Balance comfortably covers the full USD 379.86 on 2026-01-05 while keeping at least USD 1100 after all projected essentials.
request_133,5527211.08,not_affordable,not_recommended,none,,none,Requested IDR 15770000 cannot be paid within the forecast window without breaking the minimum balance of IDR 9986200; safe amount today is IDR 5527211.08.
request_134,7352304.68,affordable_later,wait,2025-08-15:21831000,2025-08-15,none,"Paying in full today would drop the balance below the required IDR 15902500. The first safe full-payment date is 2025-08-15, before the deadline of 2025-10-15."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,Balance comfortably covers the full USD 304.8 on 2026-07-06 while keeping at least USD 500 after all projected essentials.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,Balance comfortably covers the full USD 560.4 on 2024-06-03 while keeping at least USD 1100 after all projected essentials.
request_137,42114.12,affordable_later,wait,2025-11-15:80100,2025-11-15,none,"Paying in full today would drop the balance below the required INR 71800. The first safe full-payment date is 2025-11-15, before the deadline of 2026-01-15."
request_138,967.72,affordable_with_plan,installments,2026-04-07:435.74|2026-05-05:435.74|2026-06-02:435.74,2026-04-15,none,"Installment option payment_option_393 (3 payments of EUR 435.74 starting 2026-04-07) keeps the balance above EUR 2300 and completes by 2026-06-02, adding 100.56 in financing cost."
request_139,1562.51,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,"Installment option payment_option_395 (3 payments of USD 802.88 starting 2024-09-07) keeps the balance above USD 1500 and completes by 2024-11-08, adding 185.28 in financing cost."
request_140,0,not_affordable,not_recommended,none,,none,Requested ZAR 62832 cannot be paid within the forecast window without breaking the minimum balance of ZAR 21600; safe amount today is ZAR 0.
request_141,39133.55,not_affordable,not_recommended,none,,none,Requested INR 171600 cannot be paid within the forecast window without breaking the minimum balance of INR 67300; safe amount today is INR 39133.55.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,Balance comfortably covers the full USD 1263.6 on 2024-12-05 while keeping at least USD 1700 after all projected essentials.
request_143,4485.27,affordable_later,wait,2025-06-15:12584,2025-06-15,none,"Paying in full today would drop the balance below the required ZAR 11300. The first safe full-payment date is 2025-06-15, before the deadline of 2025-07-15."
request_144,0,not_affordable,not_recommended,none,,none,Requested USD 233.34 cannot be paid within the forecast window without breaking the minimum balance of USD 600; safe amount today is USD 0.
request_145,63516.53,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-04-15,none,"Installment option payment_option_412 (3 payments of INR 75365.33 starting 2024-03-20) keeps the balance above INR 155400 and completes by 2024-05-21, adding 17391.98 in financing cost."
request_146,37914.32,affordable_later,wait,2025-09-15:449400,2025-09-15,none,"Paying in full today would drop the balance below the required INR 108600. The first safe full-payment date is 2025-09-15, before the deadline of 2025-10-17."
request_147,0,not_affordable,not_recommended,none,,none,Requested EUR 1129.7 cannot be paid within the forecast window without breaking the minimum balance of EUR 900; safe amount today is EUR 0.
request_148,11625.68,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-06-15,none,"Installment option payment_option_421 (3 payments of ZAR 7710.56 starting 2024-06-14) keeps the balance above ZAR 20000 and completes by 2024-08-15, adding 1779.36 in financing cost."
request_149,29961.29,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-15,none,"Installment option payment_option_424 (3 payments of ZAR 12706.03 starting 2025-11-18) keeps the balance above ZAR 42100 and completes by 2026-01-13, adding 2932.18 in financing cost."
request_150,444.16,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-15,none,"Installment option payment_option_427 (3 payments of EUR 171.98 starting 2026-01-06) keeps the balance above EUR 700 and completes by 2026-03-07, adding 39.68 in financing cost."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Balance comfortably covers the full IDR 26999000 on 2024-09-03 while keeping at least IDR 31633600 after all projected essentials.
request_152,12378.27,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-15,none,"Installment option payment_option_433 (3 payments of ZAR 4812.43 starting 2025-02-12) keeps the balance above ZAR 11900 and completes by 2025-04-09, adding 1110.58 in financing cost."
request_153,406.6,affordable_later,wait,2026-09-15:2830.8,2026-09-15,none,"Paying in full today would drop the balance below the required USD 1400. The first safe full-payment date is 2026-09-15, before the deadline of 2026-09-24."
request_154,1625.8,affordable_now,full_payment,2024-12-04:1625.8,2024-12-04,none,Balance comfortably covers the full EUR 1625.8 on 2024-12-04 while keeping at least EUR 1300 after all projected essentials.
request_155,96215.22,not_affordable,not_recommended,none,,none,Requested INR 112500 cannot be paid within the forecast window without breaking the minimum balance of INR 56300; safe amount today is INR 96215.22.
request_156,10775.95,affordable_later,wait,2026-05-15:43076,2026-05-15,none,"Paying in full today would drop the balance below the required ZAR 26900. The first safe full-payment date is 2026-05-15, before the deadline of 2026-06-15."
request_157,7493634.36,affordable_later,wait,2024-03-15:23503000,2024-03-15,none,"Paying in full today would drop the balance below the required IDR 15714100. The first safe full-payment date is 2024-03-15, before the deadline of 2024-05-15."
request_158,242600,affordable_now,full_payment,2025-08-07:242600,2025-08-07,none,Balance comfortably covers the full INR 242600 on 2025-08-07 while keeping at least INR 131400 after all projected essentials.
request_159,11587.06,not_affordable,not_recommended,none,,none,Requested ZAR 13398 cannot be paid within the forecast window without breaking the minimum balance of ZAR 8700; safe amount today is ZAR 11587.06.
request_160,643.61,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,"Installment option payment_option_454 (3 payments of EUR 432.05 starting 2024-06-13) keeps the balance above EUR 1200 and completes by 2024-08-14, adding 99.7 in financing cost."
request_161,0,not_affordable,not_recommended,none,,none,Requested IDR 21204000 cannot be paid within the forecast window without breaking the minimum balance of IDR 23010400; safe amount today is IDR 0.
request_162,5509832.56,not_affordable,not_recommended,none,,none,Requested IDR 83923000 cannot be paid within the forecast window without breaking the minimum balance of IDR 24161100; safe amount today is IDR 5509832.56.
request_163,14033083.29,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-15,none,"Installment option payment_option_462 (3 payments of IDR 6692053.33 starting 2024-09-10) keeps the balance above IDR 26728700 and completes by 2024-11-11, adding 1544319.98 in financing cost."
request_164,27018000,affordable_now,full_payment,2025-02-04:27018000,2025-02-04,none,Balance comfortably covers the full IDR 27018000 on 2025-02-04 while keeping at least IDR 29550500 after all projected essentials.
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Balance comfortably covers the full INR 80600 on 2026-04-06 while keeping at least INR 95000 after all projected essentials.
request_166,2907.6,affordable_now,full_payment,2024-12-03:2907.6,2024-12-03,none,Balance comfortably covers the full USD 2907.6 on 2024-12-03 while keeping at least USD 1700 after all projected essentials.
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Balance comfortably covers the full ZAR 43802 on 2025-05-05 while keeping at least ZAR 31200 after all projected essentials.
request_168,49380,affordable_now,full_payment,2026-01-07:49380,2026-01-07,none,Balance comfortably covers the full INR 49380 on 2026-01-07 while keeping at least INR 114400 after all projected essentials.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Balance comfortably covers the full ZAR 41976 on 2024-03-04 while keeping at least ZAR 18700 after all projected essentials.
request_170,34501444.61,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-15,none,"Installment option payment_option_483 (3 payments of IDR 12804480 starting 2025-08-06) keeps the balance above IDR 24715800 and completes by 2025-10-01, adding 2954880 in financing cost."
request_171,149.55,not_affordable,not_recommended,none,,none,Requested EUR 1878.8 cannot be paid within the forecast window without breaking the minimum balance of EUR 500; safe amount today is EUR 149.55.
